icao24,r,t
400d5b,G-DBCH,A319
00b0ef,ZS-SNE,A346
405d13,G-EZDZ,A319
401248,G-BMIV,P28A
4ca701,EI-EBD,B738
a37b45,N323UP,B763
400966,G-MEDF,A321
4ca309,EI-DET,A320
43c1c4,ZD953,L101
4910d1,CS-DFQ,C56X
400987,G-MAJE,JS41
4006ee,G-TOYM,B733
400a50,G-EZKB,B737
405f12,G-EZTB,A320
400405,G-BNLF,B744
4006000,G-VFAR,A343
4ca565,EI-DPZ,B738
405636,G-EZDH,A319
440130,OE-LDF,A319
aa5428,N765AN,B772
4006a4,G-OBYE,B763
3c48a8,D-ABEH,B733
867fac,JA733J,B77W
400493,G-CELD,B733
400b93,G-RJXL,E135
4004de,G-BNWN,B763
400e8c,G-JECO,DH8D
3c4946,D-ABJF,B735
868e9e,JA778A,B77W
400a55,G-EZKG,B737
400490,G-BNWM,B763
400b3a,G-RGNT,R44
3c11a4,D-AVRR,RJ85
400973,G-MIDP,A320
40057d,G-CIVD,B744
405455,G-EUUU,A320
3c660c,D-AIPL,A320
4ca61b,EI-DWM,B738
4006c0,G-VIIN,B772
40614a,G-CGBP,DA40
4ca15c,EI-CVC,A320
4911d1,CS-DNQ,F2TH
40461d,G-JPAL,AS50
4784a0,LN-RRA,B737
40065b,G-BIKP,B752
4006af,G-CIVY,B744
478369,LN-RCY,B738
4d2021,9H-AEK,A320
400668,G-BMRF,B752
48433a,P4-GAS,B752
4ca257,EI-DHB,B738
400104,VP-BJD,GLF4
4ca284,EI-FXC,AT43
4951cc,CS-TNL,A320
800380,VT-JEA,B77W
8961ec,A6-EHI,A346
3c1199,D-AVRG,RJ85
4ca2b3,EI-SLH,AT72
75007b,9M-MPN,B744
4950d8,CS-TFX,A345
a35eeb,N316UP,B763
4005ed,G-VSUN,A343
451e8a,LZ-WZB,A320
4c8020,5B-DBS,A332
02000e,CN-RND,B734
4006b2,G-BYGB,B744
3c493a,D-ABIZ,B735
a8ac35,N658UA,B763
400775,G-VIIX,B772
4bbc2c,TC-OAL,A321
600804,4K-AZ04,A319
20067,CN-ROF,A321
4ca223,EI-DCI,B738
40040b,G-BNLL,B744
7c482f,VH-OJL,B744
4bbc25,TC-OAE,A321
400795,G-EMBI,E145
468961,SX-BKA,B734
400188,VP-BUI,B752
738481,4X-BAU,B753
89607b,A6-EMR,B77W
4cc2ac,TF-FIG,B752
400d97,G-FPLE,BE20
47340d,HA-LPM,A320
7c4833,VH-OJP,B744
800388,VT-JEJ,B773
45ce4f,OY-SRO,B762
4007f1,G-YMMF,B772
406011,G-EZTG,A320
400684,G-VIIL,B772
4ca60b,EI-FXK,AT72
406013,G-EZTI,A320
4ca75e,EI-EFC,B738
400901,G-CHTZ,A332
7801fa,B-HKV,B744
738075,4X-ECE,B772
45ce4c,OY-SRL,B762
44d033,OO-TAS,B463
424920,VQ-BCO,A319
40079d,G-WOWE,DH8C
400997,G-ZAPW,B733
4009c1,G-TTOF,A320
400a60,G-OOBF,B752
400877,G-EUPG,A319
449128,OO-DIH,A30B
400ff4,G-FDZD,B738
8001c9,VT-JWD,A332
44d342,OO-TZB,A30B
400570,G-BYAP,B752
4ca305,EI-DLZ,B738
44912a,OO-DIJ,A30B
4009ae,G-LCYA,F900
43c266,ZJ209,H64
4ca2c1,EI-DLD,B738
4cc0dc,TF-BBH,B734
4ca24c,EI-DCZ,B738
4ca281,EI-DEI,A320
4010f9,G-POWC,B733
400830,G-OZBN,A321
40499a,G-SURY,EC35
400a09,G-DHJZ,A320
4005d2,G-VBIG,B744
4b8475,TC-ACU,A30B
400584,G-BIKC,B752
405631,G-EZDA,A319
400a0f,G-ZAPU,B752
400620,G-BTPA,ATP
400a2e,G-TTOJ,A320
400c45,G-EZID,A319
40070,G-FCLH,B752
400efd,G-EZBC,A319
ab0972,N810AX,DC10
a39b56,N331UP,B763
4bb5d6,TC-MNV,A306
3c6565,D-AIKE,A333
3c4acb,D-ABVK,B744
a189f2,N199DN,B763
400662,G-BIKZ,B752
4008cc,G-OZBP,A321
484061,PH-KCC,MD11
3949f7,F-GSPX,B772
3c4ada,D-ABVZ,B744
a968df,N705TW,B752
a16c3a,N191DN,B763
4cc2ad,TF-FIV,B752
4ba928,TC-JIH,A343
4690c2,SX-DFB,A343
392243,F-GISD,B744
c050b9,C-GEOU,B763
a17ecd,N196DN,B763
3c4ad0,D-ABVP,B744
4ca0cf,EI-CRF,B763
484063,PH-KCE,MD11
3c656a,D-AIKJ,A333
400680,G-WJAN,B752
394a12,F-GSQS,B77W
aa44ac,N76054,B764
a34e40,N312AA,B762
aa8114,N776UA,B772
3c4acc,D-ABVL,B744
40075b,G-MDBD,A332
400550,G-CIVC,B744
a2badf,N275UP,MD11
c0173e,C-FIUV,B773
a12fcf,N176DN,B763
484076,PH-MCR,MD11
aaf5b1,N805NW,A333
400a0a,G-SUEW,A320
ab772d,N838MH,B764
a0f4a2,N1604R,B763
3c4a8b,D-ABTK,B744
c058aa,C-GHOZ,B763
aa79a6,N774UA,B772
